frame,timestamp,class,confidence,track_id,x1,y1,x2,y2
77,3.08,No Helmet,0.6256,113,992,511,1061,587
78,3.12,Helmet,0.8963,44,1257,442,1351,546
78,3.12,Helmet,0.8741,73,444,286,581,477
78,3.12,Helmet,0.8583,23,292,293,457,493
78,3.12,Helmet,0.8904,86,870,454,959,560
78,3.12,No Helmet,0.7449,113,986,507,1057,587
79,3.16,Helmet,0.8938,44,1242,437,1340,547
79,3.16,Helmet,0.8737,73,370,256,516,459
79,3.16,Helmet,0.8611,23,211,267,386,481
79,3.16,Helmet,0.9005,86,845,449,936,558
79,3.16,No Helmet,0.4628,113,987,505,1060,586
80,3.2,Helmet,0.9192,44,1225,431,1330,548
80,3.2,Helmet,0.8629,73,291,226,443,437
80,3.2,Helmet,0.8716,23,115,231,308,466
80,3.2,Helmet,0.8848,86,819,442,912,554
80,3.2,Helmet,0.5316,121,1373,535,1439,604
81,3.24,Helmet,0.8932,44,1203,427,1310,547
81,3.24,Helmet,0.9056,73,201,198,361,419
81,3.24,Helmet,0.8938,23,23,204,218,442
81,3.24,Helmet,0.9021,86,791,435,888,551
81,3.24,Helmet,0.7991,121,1364,525,1435,600
82,3.28,Helmet,0.872,44,1185,421,1289,539
82,3.28,Helmet,0.896,23,18,172,214,411
82,3.28,Helmet,0.9049,86,762,427,862,547
82,3.28,Helmet,0.8501,121,1355,512,1433,594
83,3.32,Helmet,0.8996,44,1164,412,1276,540
83,3.32,Helmet,0.927,23,0,141,171,394
83,3.32,Helmet,0.9021,86,733,422,834,544
83,3.32,Helmet,0.8794,121,1347,507,1428,591
84,3.36,Helmet,0.9201,44,1143,404,1258,536
84,3.36,Helmet,0.9064,86,703,416,805,540
84,3.36,Helmet,0.8918,121,1342,512,1420,594
85,3.4,Helmet,0.9009,44,1122,396,1239,531
85,3.4,Helmet,0.9049,86,669,410,778,544
85,3.4,Helmet,0.9083,121,1334,507,1414,593
85,3.4,Helmet,0.8575,138,195,420,306,543
85,3.4,No Helmet,0.7978,139,791,489,870,574
86,3.44,Helmet,0.9164,44,1099,389,1215,524
86,3.44,Helmet,0.9099,86,635,404,745,539
86,3.44,Helmet,0.9128,121,1329,507,1409,592
87,3.48,Helmet,0.9253,44,1077,380,1197,520
87,3.48,Helmet,0.9025,86,597,394,709,534
87,3.48,Helmet,0.9052,121,1321,505,1397,588
88,3.52,Helmet,0.9387,44,1049,370,1173,516
88,3.52,Helmet,0.9183,86,561,385,675,527
88,3.52,Helmet,0.8689,121,1309,504,1386,587
89,3.56,Helmet,0.9259,44,1020,361,1150,514
89,3.56,Helmet,0.9169,86,521,375,637,520
89,3.56,Helmet,0.8923,121,1298,503,1374,585
90,3.6,Helmet,0.9369,44,989,351,1123,510
90,3.6,Helmet,0.9148,86,474,365,594,518
90,3.6,Helmet,0.8817,121,1286,499,1366,585
91,3.64,Helmet,0.9273,44,954,339,1093,504
91,3.64,Helmet,0.9079,86,421,355,550,520
91,3.64,Helmet,0.8592,121,1276,494,1356,581
92,3.68,Helmet,0.9195,44,919,331,1061,500
92,3.68,Helmet,0.9057,86,368,345,500,514
92,3.68,Helmet,0.8694,121,1267,487,1344,570
92,3.68,Helmet,0.8707,149,524,446,622,558
93,3.72,Helmet,0.924,44,882,322,1026,493
93,3.72,Helmet,0.9192,86,313,332,446,503
93,3.72,Helmet,0.8719,121,1259,480,1338,565
93,3.72,Helmet,0.8738,149,481,440,581,556
94,3.76,Helmet,0.926,44,839,310,989,489
94,3.76,Helmet,0.9101,86,249,319,388,496
94,3.76,Helmet,0.9064,121,1241,477,1327,570
94,3.76,Helmet,0.8682,149,429,436,531,553
95,3.8,Helmet,0.9238,44,794,299,951,487
95,3.8,Helmet,0.9331,86,183,306,330,495
95,3.8,Helmet,0.8857,121,1228,475,1309,564
95,3.8,Helmet,0.6593,149,370,429,476,551
96,3.84,Helmet,0.9338,44,745,284,909,479
96,3.84,Helmet,0.9068,86,114,293,264,486
96,3.84,Helmet,0.8685,121,1210,469,1296,563
96,3.84,Helmet,0.8622,149,315,424,421,546
97,3.88,Helmet,0.9335,44,692,264,863,468
97,3.88,Helmet,0.9176,86,35,278,193,482
97,3.88,Helmet,0.912,121,1189,460,1282,562
97,3.88,Helmet,0.8756,149,255,417,363,541
98,3.92,Helmet,0.9307,44,637,236,814,447
98,3.92,Helmet,0.8908,86,0,255,137,477
98,3.92,Helmet,0.8737,121,1170,453,1260,554
98,3.92,Helmet,0.8994,138,186,408,292,525
99,3.96,Helmet,0.9433,44,575,206,759,426
99,3.96,Helmet,0.8854,121,1150,446,1242,549
99,3.96,Helmet,0.8791,149,119,389,237,526
100,4.0,Helmet,0.9349,44,510,176,704,406
100,4.0,Helmet,0.8835,121,1131,442,1222,543
100,4.0,Helmet,0.8878,149,41,374,164,517
101,4.04,Helmet,0.9431,44,440,148,641,385
101,4.04,Helmet,0.8852,121,1106,433,1201,538
101,4.04,Helmet,0.8665,149,0,363,103,512
102,4.08,Helmet,0.9458,44,362,123,574,373
102,4.08,Helmet,0.8925,121,1083,426,1180,533
103,4.12,Helmet,0.9409,44,276,101,499,363
103,4.12,Helmet,0.9103,121,1057,418,1158,531
104,4.16,Helmet,0.9449,44,181,76,414,348
104,4.16,Helmet,0.8925,121,1028,410,1133,528
105,4.2,Helmet,0.9434,44,73,48,318,332
105,4.2,Helmet,0.9169,121,998,402,1107,526
106,4.24,Helmet,0.9269,44,0,13,235,312
106,4.24,Helmet,0.9233,121,965,394,1078,523
106,4.24,Helmet,0.6588,161,1366,516,1431,577
107,4.28,Helmet,0.9154,121,934,385,1047,514
107,4.28,Helmet,0.7692,161,1354,507,1429,578
108,4.32,Helmet,0.9219,121,897,373,1015,508
108,4.32,Helmet,0.8249,161,1346,505,1424,579
109,4.36,Helmet,0.9184,121,857,361,981,504
109,4.36,Helmet,0.8667,161,1337,504,1420,583
110,4.4,Helmet,0.9174,121,815,348,942,495
110,4.4,Helmet,0.8747,161,1330,504,1415,586
111,4.44,Helmet,0.9246,121,769,335,900,487
111,4.44,Helmet,0.7658,161,1323,505,1400,579
112,4.48,Helmet,0.9255,121,719,323,854,480
112,4.48,Helmet,0.7304,161,1309,507,1379,575
113,4.52,Helmet,0.9295,121,667,311,805,471
113,4.52,Helmet,0.8067,161,1298,508,1368,576
114,4.56,Helmet,0.9325,121,608,297,754,468
114,4.56,Helmet,0.8339,161,1288,507,1359,577
114,4.56,Helmet,0.6163,164,1014,487,1062,544
115,4.6,Helmet,0.9263,121,546,286,698,463
115,4.6,Helmet,0.8221,161,1277,502,1351,575
116,4.64,Helmet,0.9145,121,473,269,635,458
116,4.64,Helmet,0.827,161,1263,496,1337,569
117,4.68,Helmet,0.9174,121,395,247,564,445
117,4.68,Helmet,0.8762,161,1252,491,1325,564
118,4.72,Helmet,0.9244,121,306,218,486,431
118,4.72,Helmet,0.9066,161,1241,484,1316,560
119,4.76,Helmet,0.9266,121,213,180,399,401
119,4.76,Helmet,0.8894,161,1227,480,1306,561
120,4.8,Helmet,0.9269,121,106,144,299,372
120,4.8,Helmet,0.8492,161,1215,478,1291,556
121,4.84,Helmet,0.9156,121,6,104,203,343
121,4.84,Helmet,0.903,161,1198,478,1274,557
122,4.88,Helmet,0.9282,161,1181,472,1261,555
123,4.92,Helmet,0.8689,161,1163,463,1247,550
124,4.96,Helmet,0.8898,161,1143,453,1231,546
125,5.0,Helmet,0.8838,161,1125,446,1215,542
126,5.04,Helmet,0.8842,161,1105,440,1198,539
127,5.08,Helmet,0.9107,161,1087,434,1182,534
127,5.08,Helmet,0.6324,170,386,578,431,624
128,5.12,Helmet,0.8858,161,1066,427,1164,532
129,5.16,Helmet,0.8978,161,1044,419,1145,528
130,5.2,Helmet,0.9016,161,1020,411,1124,524
131,5.24,Helmet,0.91,161,994,404,1103,522
131,5.24,Helmet,0.5341,175,292,590,338,640
132,5.28,Helmet,0.908,161,969,400,1079,520
133,5.32,Helmet,0.9195,161,941,393,1054,517
134,5.36,Helmet,0.919,161,911,385,1029,514
135,5.4,Helmet,0.9157,161,881,377,1000,509
136,5.44,Helmet,0.929,161,849,369,972,505
137,5.48,Helmet,0.9152,161,815,359,940,500
138,5.52,Helmet,0.9152,161,777,347,908,495
139,5.56,Helmet,0.9198,161,739,338,871,488
140,5.6,Helmet,0.9258,161,698,326,834,481
141,5.64,Helmet,0.9274,161,652,315,794,477
142,5.68,Helmet,0.9276,161,603,303,748,470
143,5.72,Helmet,0.9304,161,549,293,701,469
144,5.76,Helmet,0.9334,161,489,282,648,466
145,5.8,Helmet,0.9345,161,425,266,591,459
146,5.84,Helmet,0.923,161,353,245,528,449
147,5.88,Helmet,0.9279,161,277,218,458,428
148,5.92,Helmet,0.9304,161,190,184,382,407
149,5.96,Helmet,0.9427,161,94,151,293,382
150,6.0,Helmet,0.9275,161,5,116,209,358
151,6.04,Helmet,0.7792,,0,64,60,308
